Bandit,Reward,Algorithm
3,5.541455024744248,ThompsonSamplingBandit
3,2.861826546422482,ThompsonSamplingBandit
3,5.360855296001243,ThompsonSamplingBandit
3,1.4766571555015484,ThompsonSamplingBandit
3,3.0568654312153742,ThompsonSamplingBandit
3,3.825258120603139,ThompsonSamplingBandit
3,4.807009757405137,ThompsonSamplingBandit
3,4.5592573235812015,ThompsonSamplingBandit
3,4.872952388477073,ThompsonSamplingBandit
3,5.327948081242406,ThompsonSamplingBandit
3,5.041867030549628,ThompsonSamplingBandit
3,4.335248032167734,ThompsonSamplingBandit
3,3.821813495459946,ThompsonSamplingBandit
3,3.8619217280729057,ThompsonSamplingBandit
3,2.966977519573991,ThompsonSamplingBandit
3,3.5949475534051962,ThompsonSamplingBandit
3,3.083369062143256,ThompsonSamplingBandit
3,4.266495020830664,ThompsonSamplingBandit
3,4.83977015416421,ThompsonSamplingBandit
3,4.045279621216902,ThompsonSamplingBandit
3,5.3125648650361175,ThompsonSamplingBandit
3,3.389589867118274,ThompsonSamplingBandit
3,6.510646348716284,ThompsonSamplingBandit
3,4.791026694027865,ThompsonSamplingBandit
3,5.361614743644283,ThompsonSamplingBandit
3,4.2830530443022745,ThompsonSamplingBandit
3,5.632780356909188,ThompsonSamplingBandit
3,3.38049444239033,ThompsonSamplingBandit
3,3.9158140053962187,ThompsonSamplingBandit
3,3.7891908741635216,ThompsonSamplingBandit
3,4.3427028613462335,ThompsonSamplingBandit
3,2.024427560976247,ThompsonSamplingBandit
3,4.57508548548342,ThompsonSamplingBandit
3,3.8440724307559693,ThompsonSamplingBandit
3,2.082254370801227,ThompsonSamplingBandit
3,4.375833041343525,ThompsonSamplingBandit
3,2.338087832618855,ThompsonSamplingBandit
3,5.068289701318866,ThompsonSamplingBandit
3,5.514963084910641,ThompsonSamplingBandit
3,4.007217516978315,ThompsonSamplingBandit
3,4.59422847999452,ThompsonSamplingBandit
3,5.468535223043326,ThompsonSamplingBandit
3,2.805602169039209,ThompsonSamplingBandit
3,3.093267046101261,ThompsonSamplingBandit
3,4.1168571677469465,ThompsonSamplingBandit
3,2.9842697997457703,ThompsonSamplingBandit
3,4.131474429195475,ThompsonSamplingBandit
3,4.044395564684726,ThompsonSamplingBandit
3,5.690903011247608,ThompsonSamplingBandit
3,4.2671813624018755,ThompsonSamplingBandit
3,4.622070484629955,ThompsonSamplingBandit
3,5.761248366436539,ThompsonSamplingBandit
3,3.152691519127967,ThompsonSamplingBandit
3,3.0207525031866163,ThompsonSamplingBandit
3,5.022386252593043,ThompsonSamplingBandit
3,3.9848488357241427,ThompsonSamplingBandit
3,4.7546475057427084,ThompsonSamplingBandit
3,3.4430177287687567,ThompsonSamplingBandit
3,3.9756952508078998,ThompsonSamplingBandit
3,4.066965945103135,ThompsonSamplingBandit
3,2.4954698348044193,ThompsonSamplingBandit
3,3.5116377751237042,ThompsonSamplingBandit
3,2.908372911849704,ThompsonSamplingBandit
3,4.415729430622265,ThompsonSamplingBandit
3,3.9806955644116804,ThompsonSamplingBandit
3,4.396003162443546,ThompsonSamplingBandit
3,3.861408326977544,ThompsonSamplingBandit
3,4.2172895208606445,ThompsonSamplingBandit
3,4.54141264746662,ThompsonSamplingBandit
3,4.897002182106167,ThompsonSamplingBandit
3,3.3571956672407994,ThompsonSamplingBandit
3,4.396224569828599,ThompsonSamplingBandit
3,4.362407488993875,ThompsonSamplingBandit
3,3.861362131408956,ThompsonSamplingBandit
3,4.605687579777088,ThompsonSamplingBandit
3,3.6746968337465535,ThompsonSamplingBandit
3,5.468536460813903,ThompsonSamplingBandit
3,3.886420695698137,ThompsonSamplingBandit
3,3.457321086100814,ThompsonSamplingBandit
3,4.197639272586,ThompsonSamplingBandit
3,3.9695227026808806,ThompsonSamplingBandit
3,4.09922436078349,ThompsonSamplingBandit
3,3.7238139199173834,ThompsonSamplingBandit
3,4.01988216091088,ThompsonSamplingBandit
3,3.27883863051655,ThompsonSamplingBandit
3,4.651764231646284,ThompsonSamplingBandit
3,3.625550910591888,ThompsonSamplingBandit
3,3.7650775253066975,ThompsonSamplingBandit
3,5.708850974580771,ThompsonSamplingBandit
3,3.9103667965228524,ThompsonSamplingBandit
3,3.5548846723415988,ThompsonSamplingBandit
3,2.587550281859902,ThompsonSamplingBandit
3,3.5201009837299146,ThompsonSamplingBandit
3,4.096383668434921,ThompsonSamplingBandit
3,4.49006143721804,ThompsonSamplingBandit
3,3.7365778743021045,ThompsonSamplingBandit
3,3.235222996722671,ThompsonSamplingBandit
3,3.6400456639612737,ThompsonSamplingBandit
3,4.533305733219939,ThompsonSamplingBandit
3,4.346537280439405,ThompsonSamplingBandit
3,3.6692545147320463,ThompsonSamplingBandit
3,3.518272525793442,ThompsonSamplingBandit
3,4.879779106484305,ThompsonSamplingBandit
3,4.202254634292133,ThompsonSamplingBandit
3,4.088426940324279,ThompsonSamplingBandit
3,2.1357731610905786,ThompsonSamplingBandit
3,3.994825107849568,ThompsonSamplingBandit
3,3.888064328133487,ThompsonSamplingBandit
3,6.132280689186073,ThompsonSamplingBandit
3,2.075768033023067,ThompsonSamplingBandit
3,3.3160946132246356,ThompsonSamplingBandit
3,3.8270996806550905,ThompsonSamplingBandit
3,3.5311261651272448,ThompsonSamplingBandit
3,4.356254470285011,ThompsonSamplingBandit
3,2.573020372179252,ThompsonSamplingBandit
3,5.675985810634663,ThompsonSamplingBandit
3,5.433119257064924,ThompsonSamplingBandit
3,2.7508402038409994,ThompsonSamplingBandit
